"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PLI","TOT","OECDIDX","A","2017",131,
"AUS","PLI","TOT","OECDIDX","A","2018",126,
"AUS","PLI","TOT","OECDIDX","A","2019",120,
"AUS","PLI","TOT","OECDIDX","A","2020",117,
"AUS","PLI","TOT","OECDIDX","A","2021",124,
"AUT","PLI","TOT","OECDIDX","A","2017",101,
"AUT","PLI","TOT","OECDIDX","A","2018",104,
"AUT","PLI","TOT","OECDIDX","A","2019",101,
"AUT","PLI","TOT","OECDIDX","A","2020",103,
"AUT","PLI","TOT","OECDIDX","A","2021",105,
"BEL","PLI","TOT","OECDIDX","A","2017",102,
"BEL","PLI","TOT","OECDIDX","A","2018",104,
"BEL","PLI","TOT","OECDIDX","A","2019",100,
"BEL","PLI","TOT","OECDIDX","A","2020",100,
"BEL","PLI","TOT","OECDIDX","A","2021",101,
"CAN","PLI","TOT","OECDIDX","A","2017",108,
"CAN","PLI","TOT","OECDIDX","A","2018",107,
"CAN","PLI","TOT","OECDIDX","A","2019",110,
"CAN","PLI","TOT","OECDIDX","A","2020",109,
"CAN","PLI","TOT","OECDIDX","A","2021",115,
"CZE","PLI","TOT","OECDIDX","A","2017",62,
"CZE","PLI","TOT","OECDIDX","A","2018",65,
"CZE","PLI","TOT","OECDIDX","A","2019",64,
"CZE","PLI","TOT","OECDIDX","A","2020",65,
"CZE","PLI","TOT","OECDIDX","A","2021",69,
"DNK","PLI","TOT","OECDIDX","A","2017",121,
"DNK","PLI","TOT","OECDIDX","A","2018",123,
"DNK","PLI","TOT","OECDIDX","A","2019",119,
"DNK","PLI","TOT","OECDIDX","A","2020",119,
"DNK","PLI","TOT","OECDIDX","A","2021",121,
"FIN","PLI","TOT","OECDIDX","A","2017",113,
"FIN","PLI","TOT","OECDIDX","A","2018",116,
"FIN","PLI","TOT","OECDIDX","A","2019",113,
"FIN","PLI","TOT","OECDIDX","A","2020",113,
"FIN","PLI","TOT","OECDIDX","A","2021",113,
"FRA","PLI","TOT","OECDIDX","A","2017",101,
"FRA","PLI","TOT","OECDIDX","A","2018",102,
"FRA","PLI","TOT","OECDIDX","A","2019",96,
"FRA","PLI","TOT","OECDIDX","A","2020",98,
"FRA","PLI","TOT","OECDIDX","A","2021",99,
"DEU","PLI","TOT","OECDIDX","A","2017",97,
"DEU","PLI","TOT","OECDIDX","A","2018",100,
"DEU","PLI","TOT","OECDIDX","A","2019",98,
"DEU","PLI","TOT","OECDIDX","A","2020",99,
"DEU","PLI","TOT","OECDIDX","A","2021",101,
"GRC","PLI","TOT","OECDIDX","A","2017",75,
"GRC","PLI","TOT","OECDIDX","A","2018",76,
"GRC","PLI","TOT","OECDIDX","A","2019",73,
"GRC","PLI","TOT","OECDIDX","A","2020",74,
"GRC","PLI","TOT","OECDIDX","A","2021",75,
"HUN","PLI","TOT","OECDIDX","A","2017",57,
"HUN","PLI","TOT","OECDIDX","A","2018",59,
"HUN","PLI","TOT","OECDIDX","A","2019",58,
"HUN","PLI","TOT","OECDIDX","A","2020",57,
"HUN","PLI","TOT","OECDIDX","A","2021",59,
"ISL","PLI","TOT","OECDIDX","A","2017",150,
"ISL","PLI","TOT","OECDIDX","A","2018",149,
"ISL","PLI","TOT","OECDIDX","A","2019",138,
"ISL","PLI","TOT","OECDIDX","A","2020",130,
"ISL","PLI","TOT","OECDIDX","A","2021",137,
"IRL","PLI","TOT","OECDIDX","A","2017",104,
"IRL","PLI","TOT","OECDIDX","A","2018",107,
"IRL","PLI","TOT","OECDIDX","A","2019",108,
"IRL","PLI","TOT","OECDIDX","A","2020",108,
"IRL","PLI","TOT","OECDIDX","A","2021",107,
"ITA","PLI","TOT","OECDIDX","A","2017",90,
"ITA","PLI","TOT","OECDIDX","A","2018",92,
"ITA","PLI","TOT","OECDIDX","A","2019",88,
"ITA","PLI","TOT","OECDIDX","A","2020",89,
"ITA","PLI","TOT","OECDIDX","A","2021",89,
"JPN","PLI","TOT","OECDIDX","A","2017",109,
"JPN","PLI","TOT","OECDIDX","A","2018",108,
"JPN","PLI","TOT","OECDIDX","A","2019",112,
"JPN","PLI","TOT","OECDIDX","A","2020",111,
"JPN","PLI","TOT","OECDIDX","A","2021",105,
"KOR","PLI","TOT","OECDIDX","A","2017",89,
"KOR","PLI","TOT","OECDIDX","A","2018",89,
"KOR","PLI","TOT","OECDIDX","A","2019",86,
"KOR","PLI","TOT","OECDIDX","A","2020",82,
"KOR","PLI","TOT","OECDIDX","A","2021",85,
"LUX","PLI","TOT","OECDIDX","A","2017",111,
"LUX","PLI","TOT","OECDIDX","A","2018",115,
"LUX","PLI","TOT","OECDIDX","A","2019",112,
"LUX","PLI","TOT","OECDIDX","A","2020",116,
"LUX","PLI","TOT","OECDIDX","A","2021",116,
"MEX","PLI","TOT","OECDIDX","A","2017",55,
"MEX","PLI","TOT","OECDIDX","A","2018",55,
"MEX","PLI","TOT","OECDIDX","A","2019",58,
"MEX","PLI","TOT","OECDIDX","A","2020",53,
"MEX","PLI","TOT","OECDIDX","A","2021",57,
"NLD","PLI","TOT","OECDIDX","A","2017",102,
"NLD","PLI","TOT","OECDIDX","A","2018",105,
"NLD","PLI","TOT","OECDIDX","A","2019",104,
"NLD","PLI","TOT","OECDIDX","A","2020",104,
"NLD","PLI","TOT","OECDIDX","A","2021",105,
