"Unfallschwere";"Kanton";"Strassenart";"Unfallort";"2020";"2021"
"Unfall mit Getöteten";"Zürich";"Autobahn";"Ausserorts";3;1
"Unfall mit Getöteten";"Zürich";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Zürich";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Zürich";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Zürich";"Autostrasse";"Ausserorts";1;0
"Unfall mit Getöteten";"Zürich";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Zürich";"Hauptstrasse";"Ausserorts";3;5
"Unfall mit Getöteten";"Zürich";"Hauptstrasse";"Innerorts";4;4
"Unfall mit Getöteten";"Zürich";"Nebenstrasse";"Ausserorts";7;3
"Unfall mit Getöteten";"Zürich";"Nebenstrasse";"Innerorts";11;7
"Unfall mit Getöteten";"Zürich";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Zürich";"Andere";"Innerorts";1;0
"Unfall mit Getöteten";"Bern / Berne";"Autobahn";"Ausserorts";2;0
"Unfall mit Getöteten";"Bern / Berne";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Bern / Berne";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Bern / Berne";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Bern / Berne";"Autostrasse";"Ausserorts";0;1
"Unfall mit Getöteten";"Bern / Berne";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Bern / Berne";"Hauptstrasse";"Ausserorts";7;5
"Unfall mit Getöteten";"Bern / Berne";"Hauptstrasse";"Innerorts";7;2
"Unfall mit Getöteten";"Bern / Berne";"Nebenstrasse";"Ausserorts";2;4
"Unfall mit Getöteten";"Bern / Berne";"Nebenstrasse";"Innerorts";2;5
"Unfall mit Getöteten";"Bern / Berne";"Andere";"Ausserorts";2;0
"Unfall mit Getöteten";"Bern / Berne";"Andere";"Innerorts";1;0
"Unfall mit Getöteten";"Luzern";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Luzern";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Luzern";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Luzern";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Luzern";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Luzern";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Luzern";"Hauptstrasse";"Ausserorts";0;3
"Unfall mit Getöteten";"Luzern";"Hauptstrasse";"Innerorts";6;2
"Unfall mit Getöteten";"Luzern";"Nebenstrasse";"Ausserorts";3;2
"Unfall mit Getöteten";"Luzern";"Nebenstrasse";"Innerorts";4;2
"Unfall mit Getöteten";"Luzern";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Luzern";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Uri";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Uri";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Uri";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Uri";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Uri";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Uri";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Uri";"Hauptstrasse";"Ausserorts";3;1
"Unfall mit Getöteten";"Uri";"Hauptstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Uri";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Uri";"Nebenstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Uri";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Uri";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Schwyz";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Schwyz";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Schwyz";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Schwyz";"Autobahnnebenanlage";"Innerorts";0;0
